generation,train_best,train_median,train_worst,val_best,gen_time_s,total_time_s,dm_active
341,57913.05,57913.05,-87828.81,1452.74,6.90,2977.40,1
342,57913.05,57913.05,-87468.42,1452.74,6.80,2984.40,1
343,57913.05,57913.05,-86196.55,1452.74,6.89,2991.49,1
344,57913.05,57913.05,-86076.69,1452.74,6.82,2998.51,1
345,57913.05,57913.05,-87263.77,1452.74,6.79,3005.49,1
346,57913.05,57913.05,-86089.76,1452.74,6.98,3012.67,1
347,57913.05,57913.05,-84886.39,1452.74,6.89,3019.75,1
348,57913.05,57913.05,-85976.15,1452.74,6.78,3026.73,1
349,57913.05,57913.05,-88220.45,1452.74,6.88,3033.81,1
350,57913.05,57913.05,-88127.22,1452.74,7.06,3041.07,1
351,57913.05,57913.05,-86525.78,1452.74,6.79,3048.06,1
352,57921.07,57913.05,-85063.59,1462.77,6.88,3055.14,1
353,57921.07,57913.05,-86575.66,1462.77,6.78,3062.12,1
354,57921.07,57913.05,-86988.64,1462.77,6.80,3069.12,1
355,57921.07,57913.05,-88262.90,1462.77,6.81,3076.13,1
356,57921.07,57913.05,-84067.04,1462.77,6.80,3083.13,1
357,57921.07,57913.05,-88577.45,1462.77,6.78,3090.12,1
358,57921.07,57913.05,-86388.41,1462.77,6.80,3097.11,1
359,57921.07,57913.05,-87299.76,1462.77,6.79,3104.10,1
360,57921.07,57913.05,-86907.01,1462.77,6.78,3111.08,1
361,57921.07,57913.05,-86962.65,1462.77,6.77,3118.06,1
362,57921.07,57913.05,-85843.01,1462.77,7.05,3125.30,1
363,57921.07,57913.05,-88232.73,1462.77,6.82,3132.32,1
364,57921.07,57913.05,-86488.76,1462.77,6.75,3139.28,1
365,57921.64,57913.05,-86523.62,1463.25,6.79,3146.27,1
366,57922.15,57913.05,-87935.91,1463.70,6.88,3153.35,1
367,57922.15,57921.07,-87102.02,1463.70,6.79,3160.35,1
368,57922.15,57921.07,-87953.98,1473.32,6.77,3167.32,1
369,57922.15,57921.07,-87737.12,1463.70,7.02,3174.54,1
370,57922.15,57921.07,-88339.48,1463.70,6.75,3181.49,1
371,57922.15,57921.07,-84622.47,1463.70,6.77,3188.46,1
372,57922.15,57921.07,-85485.55,1463.70,6.75,3195.42,1
373,57922.15,57921.07,-86554.95,1463.70,6.78,3202.40,1
374,57922.15,57921.07,-86831.58,1463.70,6.74,3209.34,1
375,57922.15,57921.07,-86860.41,1463.70,6.77,3216.30,1
376,57922.15,57921.64,-88541.62,1463.70,6.77,3223.26,1
377,57922.15,57922.15,-87016.62,1463.70,6.74,3230.21,1
378,57922.15,57922.15,-87804.23,1463.70,6.78,3237.18,1
379,57922.15,57922.15,-89537.05,1463.70,6.75,3244.14,1
380,57922.15,57922.15,-86375.34,1463.70,6.78,3251.11,1
381,57922.15,57922.15,-88222.41,1463.70,6.74,3258.05,1
382,57922.15,57922.15,-85898.01,1463.70,6.75,3265.01,1
383,57922.15,57922.15,-84414.91,1463.70,6.78,3271.99,1
384,57922.15,57922.15,-87462.01,1463.70,6.79,3278.99,1
385,57922.15,57922.15,-88518.95,1463.70,6.80,3285.99,1
386,57922.15,57922.15,-85786.52,1463.70,6.74,3292.93,1
387,57922.15,57922.15,-88425.39,1474.25,6.78,3299.91,1
388,57922.15,57922.15,-87035.95,1474.25,6.79,3306.89,1
389,57922.15,57922.15,-85956.34,1474.25,6.77,3313.86,1
390,57922.15,57922.15,-87971.16,1463.70,6.87,3320.93,1
391,57922.15,57922.15,-87539.80,1463.70,6.74,3327.87,1
392,57922.15,57922.15,-87961.89,1463.70,6.78,3334.84,1
393,57922.15,57922.15,-87924.19,1463.70,6.80,3341.85,1
394,57922.15,57922.15,-84740.29,1463.70,6.77,3348.81,1
395,57922.15,57922.15,-88009.99,1463.70,6.77,3355.78,1
396,57922.15,57922.15,-85232.52,1463.70,6.74,3362.72,1
397,57922.15,57922.15,-86625.13,1463.70,6.79,3369.71,1
398,57922.15,57922.15,-87643.80,1463.70,6.75,3376.66,1
399,57922.15,57922.15,-88539.27,1463.70,6.78,3383.65,1
400,57922.15,57922.15,-86518.34,1463.70,6.76,3390.61,1
401,57922.15,57922.15,-86979.88,1463.70,6.77,3397.58,1
402,57922.15,57922.15,-88445.32,1463.70,6.78,3404.56,1
403,57922.15,57922.15,-88854.20,1463.70,6.74,3411.50,1
404,57922.15,57922.15,-86888.05,1463.70,6.85,3418.55,1
